symbol,timeframe,rows_in_window,window_min_ts,window_max_ts,start_gap_seconds,end_gap_seconds,boundary_tolerance_seconds,boundary_ok,non_monotonic,duplicate_timestamps,unexpected_gap_count,max_gap_minutes
SPY,1m,2,2025-01-02T14:30:00+00:00,2025-01-02T14:31:00+00:00,0.0,23340.0,259200.0,True,False,False,0,1.0
QQQ,1m,2,2025-01-02T14:30:00+00:00,2025-01-02T14:31:00+00:00,0.0,23340.0,259200.0,True,False,False,0,1.0
